Date,Close,,,,,,,,,,,,,,,,,,,,,,,
17/04/2018,44.56,,,,,,,,,,,,,,,,,,,,,,,
18/04/2018,44.46,,,,,,,,,,,,,,,,,,,,,,,
19/04/2018,43.2,,,,,,,,,,,,,,,,,,,,,,,
20/04/2018,41.43,,,,,,,,,,,,,,,,,,,,,,,
23/04/2018,41.31,,,,,,,,,,,,,,,,,,,,,,,
24/04/2018,40.74,,,,,,,,,,,,,,,,,,,,,,,
25/04/2018,40.91,,,,,,,,,,,,,,,,,,,,,,,
26/04/2018,41.06,,,,,,,,,,,,,,,,,,,,,,,
27/04/2018,40.58,,,,,,,,,,,,,,,,,,,,,,,
30/04/2018,41.32,,,,,,,,,,,,,,,,,,,,,,,
1/05/2018,42.28,,,,,,,,,,,,,,,,,,,,,,,
2/05/2018,44.14,,,,,,,,,,,,,,,,,,,,,,,
3/05/2018,44.22,,,,,,,,,,,,,,,,,,,,,,,
4/05/2018,45.96,,,,,,,,,,,,,,,,,,,,,,,
7/05/2018,46.29,,,,,,,,,,,,,,,,,,,,,,,
8/05/2018,46.51,,,,,,,,,,,,,,,,,,,,,,,
9/05/2018,46.84,,,,,,,,,,,,,,,,,,,,,,,
10/05/2018,47.51,,,,,,,,,,,,,,,,,,,,,,,
11/05/2018,47.15,,,,,,,,,,,,,,,,,,,,,,,
14/05/2018,47.04,,,,,,,,,,,,,,,,,,,,,,,
15/05/2018,46.61,,,,,,,,,,,,,,,,,,,,,,,
16/05/2018,47.05,,,,,,,,,,,,,,,,,,,,,,,
17/05/2018,46.75,,,,,,,,,,,,,,,,,,,,,,,
18/05/2018,46.58,,,,,,,,,,,,,,,,,,,,,,,
21/05/2018,46.91,,,,,,,,,,,,,,,,,,,,,,,
22/05/2018,46.79,,,,,,,,,,,,,,,,,,,,,,,
23/05/2018,47.09,,,,,,,,,,,,,,,,,,,,,,,
24/05/2018,47.04,,,,,,,,,,,,,,,,,,,,,,,
25/05/2018,47.15,,,,,,,,,,,,,,,,,,,,,,,
29/05/2018,46.98,,,,,,,,,,,,,,,,,,,,,,,
30/05/2018,46.88,,,,,,,,,,,,,,,,,,,,,,,
31/05/2018,46.72,,,,,,,,,,,,,,,,,,,,,,,
1/06/2018,47.56,,,,,,,,,,,,,,,,,,,,,,,
4/06/2018,47.96,,,,,,,,,,,,,,,,,,,,,,,
5/06/2018,48.33,,,,,,,,,,,,,,,,,,,,,,,
6/06/2018,48.5,,,,,,,,,,,,,,,,,,,,,,,
7/06/2018,48.37,,,,,,,,,,,,,,,,,,,,,,,
8/06/2018,47.93,,,,,,,,,,,,,,,,,,,,,,,
11/06/2018,47.81,,,,,,,,,,,,,,,,,,,,,,,
12/06/2018,48.07,,,,,,,,,,,,,,,,,,,,,,,
13/06/2018,47.68,,,,,,,,,,,,,,,,,,,,,,,
14/06/2018,47.7,,,,,,,,,,,,,,,,,,,,,,,
15/06/2018,47.21,,,,,,,,,,,,,,,,,,,,,,,
18/06/2018,47.19,,,,,,,,,,,,,,,,,,,,,,,
19/06/2018,46.42,,,,,,,,,,,,,,,,,,,,,,,
20/06/2018,46.63,,,,,,,,,,,,,,,,,,,,,,,
21/06/2018,46.37,,,,,,,,,,,,,,,,,,,,,,,
22/06/2018,46.23,,,,,,,,,,,,,,,,,,,,,,,
25/06/2018,45.54,,,,,,,,,,,,,,,,,,,,,,,
26/06/2018,46.11,,,,,,,,,,,,,,,,,,,,,,,
27/06/2018,46.04,,,,,,,,,,,,,,,,,,,,,,,
28/06/2018,46.38,,,,,,,,,,,,,,,,,,,,,,,
29/06/2018,46.28,,,,,,,,,,,,,,,,,,,,,,,
2/07/2018,46.8,,,,,,,,,,,,,,,,,,,,,,,
3/07/2018,45.98,,,,,,,,,,,,,,,,,,,,,,,
5/07/2018,46.35,,,,,,,,,,,,,,,,,,,,,,,
6/07/2018,46.99,,,,,,,,,,,,,,,,,,,,,,,
9/07/2018,47.65,,,,,,,,,,,,,,,,,,,,,,,
10/07/2018,47.59,,,,,,,,,,,,,,,,,,,,,,,
11/07/2018,46.97,,,,,,,,,,,,,,,,,,,,,,,
12/07/2018,47.76,,,,,,,,,,,,,,,,,,,,,,,
13/07/2018,47.83,,,,,,,,,,,,,,,,,,,,,,,
16/07/2018,47.73,,,,,,,,,,,,,,,,,,,,,,,
17/07/2018,47.86,,,,,,,,,,,,,,,,,,,,,,,
18/07/2018,47.6,,,,,,,,,,,,,,,,,,,,,,,
19/07/2018,47.97,,,,,,,,,,,,,,,,,,,,,,,
20/07/2018,47.86,,,,,,,,,,,,,,,,,,,,,,,
23/07/2018,47.86,,,,,,,,,,,,,,,,,,,,,,,
24/07/2018,48.25,,,,,,,,,,,,,,,,,,,,,,,
25/07/2018,48.71,,,,,,,,,,,,,,,,,,,,,,,
26/07/2018,48.55,,,,,,,,,,,,,,,,,,,,,,,
27/07/2018,47.75,,,,,,,,,,,,,,,,,,,,,,,
30/07/2018,47.48,,,,,,,,,,,,,,,,,,,,,,,
31/07/2018,47.57,,,,,,,,,,,,,,,,,,,,,,,
1/08/2018,50.38,,,,,,,,,,,,,,,,,,,,,,,
2/08/2018,51.85,,,,,,,,,,,,,,,,,,,,,,,
3/08/2018,52,,,,,,,,,,,,,,,,,,,,,,,
6/08/2018,52.27,,,,,,,,,,,,,,,,,,,,,,,
7/08/2018,51.78,,,,,,,,,,,,,,,,,,,,,,,
